Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,383193.868,2264756.751,1903.876,,-100.12000173,20.47781106,1903.876,Global,0.013,0.016,0.027,0.020,1.686,m,FLOAT,RTK,2026-07-15 17:31:30.4 UTC-06:00,2026-07-15 17:31:35.7 UTC-06:00,27,1.8,2.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,15.913,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
2,,383193.862,2264756.752,1903.872,,-100.12000178,20.47781107,1903.872,Global,0.013,0.016,0.026,0.020,1.686,m,FLOAT,RTK,2026-07-15 17:31:40.2 UTC-06:00,2026-07-15 17:31:45.4 UTC-06:00,27,1.8,2.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,15.921,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
3,,383189.253,2264754.062,1904.089,,-100.12004579,20.47778648,1904.089,Global,0.062,0.096,0.177,0.114,1.686,m,FLOAT,RTK,2026-07-15 17:32:34.5 UTC-06:00,2026-07-15 17:32:39.5 UTC-06:00,26,4.9,6.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,18.967,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
4,,383190.934,2264756.370,1903.836,,-100.12002983,20.47780744,1903.836,Global,0.011,0.018,0.028,0.021,1.686,m,FLOAT,RTK,2026-07-15 17:32:56.7 UTC-06:00,2026-07-15 17:33:01.7 UTC-06:00,26,1.5,1.8,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,18.286,,Mexico ITRF92 / UTM zone 14N,8,8,3,0,0
5,,383192.595,2264758.623,1903.846,,-100.12001405,20.47782789,1903.846,Global,0.012,0.017,0.024,0.020,1.686,m,FLOAT,RTK,2026-07-15 17:33:13.5 UTC-06:00,2026-07-15 17:33:18.7 UTC-06:00,27,1.9,2.3,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,18.017,,Mexico ITRF92 / UTM zone 14N,9,9,3,0,0
6,,383192.521,2264761.764,1903.810,,-100.12001497,20.47785627,1903.810,Global,0.012,0.017,0.029,0.021,1.686,m,FLOAT,RTK,2026-07-15 17:33:34.3 UTC-06:00,2026-07-15 17:33:39.3 UTC-06:00,26,1.8,2.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,20.050,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
7,,383193.196,2264762.337,1903.792,,-100.12000853,20.47786149,1903.792,Global,0.015,0.016,0.025,0.022,1.686,m,FLOAT,RTK,2026-07-15 17:33:47.0 UTC-06:00,2026-07-15 17:33:52.0 UTC-06:00,26,1.7,2.0,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,19.948,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
8,,383192.689,2264762.819,1903.805,,-100.12001342,20.47786581,1903.805,Global,0.011,0.015,0.023,0.018,1.686,m,FLOAT,RTK,2026-07-15 17:34:04.1 UTC-06:00,2026-07-15 17:34:09.1 UTC-06:00,26,1.9,2.3,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,20.653,,Mexico ITRF92 / UTM zone 14N,9,9,3,0,0
9,,383192.092,2264762.151,1903.821,,-100.12001911,20.47785974,1903.821,Global,0.015,0.017,0.029,0.023,1.686,m,FLOAT,RTK,2026-07-15 17:34:19.5 UTC-06:00,2026-07-15 17:34:24.5 UTC-06:00,26,2.0,2.5,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,20.632,,Mexico ITRF92 / UTM zone 14N,8,9,3,0,0
10,,383195.787,2264762.792,1904.095,,-100.11998372,20.47786576,1904.095,Global,0.018,0.018,0.052,0.025,1.686,m,FLOAT,RTK,2026-07-15 17:34:39.1 UTC-06:00,2026-07-15 17:34:44.2 UTC-06:00,27,3.1,3.7,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,18.569,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
